ourName,ourCategory,ourSource,matchedDescription,matchedCategory,foodCode,score,tier,coreMismatch,compositeDish,cup,tbsp,tsp,piece
Yakhnat Fassoulia,prepared,lebanese,,,,3.5,no-match,yes,no,,,,
Kounafa kashta bil kaak,sweets,lebanese,,,,3.5,no-match,yes,no,,,,
Malfouf mahchi,prepared,lebanese,,,,3.6,no-match,yes,no,,,,
Maamoul joz,sweets,lebanese,,,,3.6,no-match,yes,no,,,,
Borgul bi banadoura,prepared,lebanese,,,,3.7,no-match,yes,no,,,,
Maamoul mad joz,sweets,lebanese,,,,3.7,no-match,yes,yes,,,,
Koussa mahchi,prepared,lebanese,,,,3.8,no-match,yes,no,,,,
Lahm bil ajin,prepared,lebanese,,,,3.8,no-match,yes,no,,,,
Halawat El Jiben,sweets,lebanese,,,,3.8,no-match,yes,no,,,,
Karabij joz maa crema,sweets,lebanese,,,,3.8,no-match,yes,no,,,,
Baba ghanoush (mtabbal),prepared,lebanese,,,,3.9,no-match,yes,yes,,,,
Yakhnat Mouloukhia,prepared,lebanese,,,,3.9,no-match,yes,no,,,,
Maamoul mad Kashta,sweets,lebanese,,,,3.9,no-match,yes,no,,,,
Kallaj kashta,sweets,lebanese,,,,4,no-match,yes,no,,,,
Maakroun wa moushaba,sweets,lebanese,,,,4,no-match,yes,no,,,,
Moufattaka,sweets,lebanese,,,,4,no-match,yes,no,,,,
Shaaybiyat,sweets,lebanese,,,,4,no-match,yes,no,,,,
Znoud El Sitt,sweets,lebanese,,,,4,no-match,yes,no,,,,
Mafrouka fostok,sweets,lebanese,,,,4,no-match,yes,no,,,,
QUINOA,,usda,,,,4,no-match,yes,no,,,,
Kounafa bil jiben,sweets,lebanese,,,,4.1,no-match,yes,no,,,,
Fatayer sabanikh,prepared,lebanese,,,,4.2,no-match,yes,no,,,,
Riz a dajaj,prepared,lebanese,,,,4.2,no-match,yes,no,,,,
Boundoukia,sweets,lebanese,,,,4.2,no-match,yes,yes,,,,
Mouhallabiya,sweets,lebanese,,,,4.2,no-match,yes,no,,,,
Riz bil Hlib,sweets,lebanese,,,,4.2,no-match,yes,no,,,,
Ward el sham,sweets,lebanese,,,,4.2,no-match,yes,no,,,,
Baba ghanouj,prepared,lebanese,,,,4.3,no-match,yes,no,,,,
Shawarma dajaj,prepared,lebanese,,,,4.3,no-match,yes,no,,,,
Shawarma lahma,prepared,lebanese,,,,4.3,no-match,yes,no,,,,
Maamoul fostok,sweets,lebanese,,,,4.3,no-match,yes,no,,,,
Labneh,dairy,lebanese,,,,4.4,no-match,yes,no,,,,
Pistachios,nuts_seeds,usda,,,,4.4,no-match,yes,no,,,,
Manakish zaatar,prepared,lebanese,,,,4.4,no-match,yes,no,,,,
Hindbe bil zet,prepared,lebanese,,,,4.4,no-match,yes,yes,,,,
Kebba bil saynia,prepared,lebanese,,,,4.4,no-match,yes,no,,,,
Mousaka batinjan,prepared,lebanese,,,,4.4,no-match,yes,no,,,,
Ghourayba,sweets,lebanese,,,,4.4,no-match,yes,no,,,,
Moushabak,sweets,lebanese,,,,4.4,no-match,yes,no,,,,
Croissant,,usda,,,,4.4,no-match,yes,no,,,,
Moujadara,prepared,lebanese,,,,4.5,no-match,yes,no,,,,
Fattat Hommos,prepared,lebanese,,,,4.6,no-match,yes,no,,,,
Yakhnat Bamia,prepared,lebanese,,,,4.6,no-match,yes,no,,,,
Foustoukia,sweets,lebanese,,,,4.6,no-match,yes,no,,,,
Ish el bulbul,sweets,lebanese,,,,4.6,no-match,yes,no,,,,
Maamoul tamer,sweets,lebanese,,,,4.6,no-match,yes,no,,,,
Kafta wa batata,prepared,lebanese,,,,4.7,no-match,yes,no,,,,
Loubia bil zet,prepared,lebanese,,,,4.7,no-match,yes,yes,,,,
Mafrouka Kashta,sweets,lebanese,,,,4.7,no-match,yes,yes,,,,
Chichbarak,prepared,lebanese,,,,5,no-match,yes,no,,,,
Fattoush,prepared,lebanese,,,,5,no-match,yes,no,,,,
Moghrabia,prepared,lebanese,,,,5,no-match,yes,no,,,,
Riz bi lahma,prepared,lebanese,,,,5,no-match,yes,no,,,,
Katayef Kashta,sweets,lebanese,,,,5,no-match,yes,yes,,,,
Madlouka,sweets,lebanese,,,,5,no-match,yes,no,,,,
Nammoura,sweets,lebanese,,,,5,no-match,yes,no,,,,
Osmaliya,sweets,lebanese,,,,5,no-match,yes,no,,,,
Batata mahchi,prepared,lebanese,,,,5.4,no-match,yes,no,,,,
Saniora,sweets,lebanese,,,,5.6,no-match,yes,no,,,,
Maakaron,sweets,lebanese,,,,5.6,no-match,yes,no,,,,
Sayadia,prepared,lebanese,,,,5.7,no-match,yes,no,,,,
Barazik,sweets,lebanese,,,,5.7,no-match,yes,no,,,,
Daoukia,sweets,lebanese,,,,5.7,no-match,yes,no,,,,
Halawa,sweets,lebanese,,,,5.7,no-match,yes,no,,,,
Sfouf,sweets,lebanese,,,,6,no-match,yes,no,,,,
"Bulgur, fine, dry",grains,usda,,,,6.1,no-match,yes,no,,,,
"Bulgur (burghol), cooked",grains,usda,,,,9.8,no-match,yes,no,,,,
"Freekeh, cooked",grains,lebanese,,,,13.1,no-match,yes,no,,,,
"Falafel, fried",prepared,lebanese,,,,13.1,no-match,yes,no,,,,
"Couscous, cooked",,usda,,,,13.1,no-match,yes,no,,,,
"Bulgur, cooked",,usda,,,,13.1,no-match,yes,no,,,,
"Kibbeh, fried",prepared,lebanese,,,,13.3,no-match,yes,no,,,,
"Quinoa, cooked",,usda,,,,13.6,no-match,yes,no,,,,
"CORNFLAKE CRUMBS, CORNFLAKE",,usda,,,,13.7,no-match,no,no,,,,
"Nescaf, Nestle Coffee- Mate, Instant Coffee Mix & Sweetened Creamer, Original, 12 oz (340.1 g) checkoutarrow",,usda,,,,14.2,no-match,no,no,,,,
"BURGER KING, Double Cheeseburger",,usda,,,,14.2,no-match,no,no,,,,
"McDONALD'S, McFLURRY with OREO cookies",,usda,,,,15.2,no-match,no,no,,,,
"BURGER KING, Cheeseburger",,usda,,,,15.5,no-match,no,no,,,,
"BURGER KING, Hamburger",,usda,,,,15.9,no-match,no,no,,,,
"Beef, round, full cut, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, broiled",,usda,,,,17.1,no-match,no,no,,,,
